,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,video_Address,publishedAt_specific_date
2076,0ZzBGmaAF2A,[친선경기] 포르투갈 vs 스페인 H/L,2020-10-08 05:00:00,UCtm_QoN2SIxwCE-59shX7Qg,SPOTV,17,2020-10-13 00:00:00,SPOTV|스포티비,769598,4483,257,1957,https://i.ytimg.com/vi/0ZzBGmaAF2A/default.jpg,False,False,포르투갈 vs 스페인 경기 하이라이트,https://www.youtube.com/watch?v=0ZzBGmaAF2A,2020-10-08
2077,YT4HGM0geLQ,[친선경기] 프랑스 vs 우크라이나 H/L,2020-10-08 05:00:02,UCtm_QoN2SIxwCE-59shX7Qg,SPOTV,17,2020-10-13 00:00:00,SPOTV|스포티비,467594,2840,158,1055,https://i.ytimg.com/vi/YT4HGM0geLQ/default.jpg,False,False,프랑스 vs 우크라이나 경기 하이라이트,https://www.youtube.com/watch?v=YT4HGM0geLQ,2020-10-08
2078,gO_NjGQz19M,[라디오스타] 웬만한 방송인보다 유행어가 많은 ＂유행어 제조기＂ 이근 대위의 라스 나들이♬ | #엠뚜루마뚜루 #잼모아 #엠돌핀,2020-10-08 06:13:56,UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 종합 채널,24,2020-10-13 00:00:00,라디오스타|김국진|김구라|안영미|한다감|황석정|박태준|이근|홍석천|노래|성대모사|개인기|에피소드|토크|스타,1395892,12972,3555,5555,https://i.ytimg.com/vi/gO_NjGQz19M/default.jpg,False,False,[라디오스타] 수요일 밤 10시 40분 방송!_#라디오스타#엠뚜루마뚜루#잼모아,https://www.youtube.com/watch?v=gO_NjGQz19M,2020-10-08
2079,gO_NjGQz19M,[라디오스타] 웬만한 방송인보다 유행어가 많은 ＂유행어 제조기＂ 이근 대위의 라스 나들이♬ | #엠뚜루마뚜루 #잼모아 #엠돌핀,2020-10-08 06:13:56,UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 채널,24,2020-10-11 00:00:00,라디오스타|김국진|김구라|안영미|한다감|황석정|박태준|이근|홍석천|노래|성대모사|개인기|에피소드|토크|스타,1259303,12038,3210,5292,https://i.ytimg.com/vi/gO_NjGQz19M/default.jpg,False,False,[라디오스타] 수요일 밤 10시 50분 방송!_#라디오스타#엠뚜루마뚜루#잼모아,https://www.youtube.com/watch?v=gO_NjGQz19M,2020-10-08
2080,X2BmfpGx9JU,[핫드봐야지] 학폭하는 일진 참교육하러 왔다🔥인간 사이다 이도현 폭주🔥｜18 어게인,2020-10-08 08:34:37,UCKuwp52MjSk-zeFRpchSheg,DRAMA Voyage,24,2020-10-13 00:00:00,DRAMA Voyage|드라마 봐야지|jtbc 드라마|jtbc drama|봐야지|드라마|드라마봐야지|VOYAGE|DRAMA|DRAMAVOYAGE|DRAMA VOYAGE|K-DRAMA|KDRAMA|KOREA|KOREADRAMA|이도현|윤상현|김하늘|이도현 김하늘|김하늘 이도현|18어게인|18어게인 이도현|18어게인 김하늘|18어게인 이도현 김하늘|에이틴어게인|17어게인|18어게인 티저|18어게인 예고|18어게인 메이킹|이도현 아이유|델루나|호텔델루나|호텔델루나 이도현|호텔델루나 이도현 아이유|이지은|넷플릭스|넷플릭스 추천|드라마 추천|로코|로코 드라마|월화드라마|JTBC|JTBC드라마|JTBC DRAMA|JTBC 드라마|연플리|노정의|려운|웹드,280701,2448,87,276,https://i.ytimg.com/vi/X2BmfpGx9JU/default.jpg,False,False,[ 핫드봐야지▶18어게인 ]학폭하는 일진 참교육하러 왔다🔥인간 사이다 이도현 폭주🔥#18어게인 #핫드봐야지 #DRAMA봐야지[JTBC 드라마봐야지] 구독하기☞ http://asq.kr/Ah9XRJpZkueh------------------------------------------------------📌 영상 속 프로그램은?【18어게인】http://tv.jtbc.joins.com/eighteenagain------------------------------------------------------,https://www.youtube.com/watch?v=X2BmfpGx9JU,2020-10-08
2081,wSXLmy1pY3I,[지금📌인기][ENG] 이도현 네가 미래다✨ 너같이 성깔머리 있는 매력 남주는 네가 처음이야｜18어게인,2020-10-08 08:36:00,UCKuwp52MjSk-zeFRpchSheg,DRAMA Voyage,24,2020-10-16 00:00:00,DRAMA Voyage|드라마 봐야지|jtbc 드라마|jtbc drama|봐야지|드라마|드라마봐야지|VOYAGE|DRAMA|DRAMAVOYAGE|DRAMA VOYAGE|K-DRAMA|KDRAMA|KOREA|KOREADRAMA|이도현|윤상현|김하늘|이도현 김하늘|김하늘 이도현|18어게인|18어게인 이도현|18어게인 김하늘|18어게인 이도현 김하늘|에이틴어게인|17어게인|18어게인 티저|18어게인 예고|18어게인 메이킹|이도현 아이유|델루나|호텔델루나|호텔델루나 이도현|호텔델루나 이도현 아이유|이지은|넷플릭스|넷플릭스 추천|드라마 추천|로코|로코 드라마|월화드라마|JTBC|JTBC드라마|JTBC DRAMA|JTBC 드라마|연플리|노정의|려운|웹드,559944,7993,104,650,https://i.ytimg.com/vi/wSXLmy1pY3I/default.jpg,False,False,"[ 지금인기▶18어게인 이도현 ]피지컬 뭔데, 눈빛 뭔데, 목소리 뭔데연기는 또 왜 그렇게 잘하는데!!!!도현아 슈스길만 걸어💙✨[JTBC 드라마봐야지] 구독하기☞ http://asq.kr/Ah9XRJpZkueh------------------------------------------------------📌 영상 속 프로그램은?【18어게인】http://tv.jtbc.joins.com/eighteenagain------------------------------------------------------",https://www.youtube.com/watch?v=wSXLmy1pY3I,2020-10-08
2082,wSXLmy1pY3I,[지금📌인기] 이도현 네가 미래다✨ 너같이 성깔머리 있는 매력 남주는 네가 처음이야｜18 어게인,2020-10-08 08:36:00,UCKuwp52MjSk-zeFRpchSheg,DRAMA Voyage,24,2020-10-11 00:00:00,DRAMA Voyage|드라마 봐야지|jtbc 드라마|jtbc drama|봐야지|드라마|드라마봐야지|VOYAGE|DRAMA|DRAMAVOYAGE|DRAMA VOYAGE|K-DRAMA|KDRAMA|KOREA|KOREADRAMA|이도현|윤상현|김하늘|이도현 김하늘|김하늘 이도현|18어게인|18어게인 이도현|18어게인 김하늘|18어게인 이도현 김하늘|에이틴어게인|17어게인|18어게인 티저|18어게인 예고|18어게인 메이킹|이도현 아이유|델루나|호텔델루나|호텔델루나 이도현|호텔델루나 이도현 아이유|이지은|넷플릭스|넷플릭스 추천|드라마 추천|로코|로코 드라마|월화드라마|JTBC|JTBC드라마|JTBC DRAMA|JTBC 드라마|연플리|노정의|려운|웹드,369603,5839,70,529,https://i.ytimg.com/vi/wSXLmy1pY3I/default.jpg,False,False,"[ 지금인기▶18어게인 이도현 ]피지컬 뭔데, 눈빛 뭔데, 목소리 뭔데연기는 또 왜 그렇게 잘하는데!!!!도현아 슈스길만 걸어💙✨[JTBC 드라마봐야지] 구독하기☞ http://asq.kr/Ah9XRJpZkueh------------------------------------------------------📌 영상 속 프로그램은?【18어게인】http://tv.jtbc.joins.com/eighteenagain------------------------------------------------------",https://www.youtube.com/watch?v=wSXLmy1pY3I,2020-10-08
2083,wSXLmy1pY3I,[지금📌인기] 이도현 네가 미래다✨ 너같이 성깔머리 있는 매력 남주는 네가 처음이야｜18어게인,2020-10-08 08:36:00,UCKuwp52MjSk-zeFRpchSheg,DRAMA Voyage,24,2020-10-12 00:00:00,DRAMA Voyage|드라마 봐야지|jtbc 드라마|jtbc drama|봐야지|드라마|드라마봐야지|VOYAGE|DRAMA|DRAMAVOYAGE|DRAMA VOYAGE|K-DRAMA|KDRAMA|KOREA|KOREADRAMA|이도현|윤상현|김하늘|이도현 김하늘|김하늘 이도현|18어게인|18어게인 이도현|18어게인 김하늘|18어게인 이도현 김하늘|에이틴어게인|17어게인|18어게인 티저|18어게인 예고|18어게인 메이킹|이도현 아이유|델루나|호텔델루나|호텔델루나 이도현|호텔델루나 이도현 아이유|이지은|넷플릭스|넷플릭스 추천|드라마 추천|로코|로코 드라마|월화드라마|JTBC|JTBC드라마|JTBC DRAMA|JTBC 드라마|연플리|노정의|려운|웹드,423723,6554,75,568,https://i.ytimg.com/vi/wSXLmy1pY3I/default.jpg,False,False,"[ 지금인기▶18어게인 이도현 ]피지컬 뭔데, 눈빛 뭔데, 목소리 뭔데연기는 또 왜 그렇게 잘하는데!!!!도현아 슈스길만 걸어💙✨[JTBC 드라마봐야지] 구독하기☞ http://asq.kr/Ah9XRJpZkueh------------------------------------------------------📌 영상 속 프로그램은?【18어게인】http://tv.jtbc.joins.com/eighteenagain------------------------------------------------------",https://www.youtube.com/watch?v=wSXLmy1pY3I,2020-10-08
2084,CUUZn755edw,가짜사나이 동기가 우리집에 놀러왔어요🥳,2020-10-08 09:00:02,UCaNGiz6D2vHP7XLj9d5691A,액션홍구,24,2020-10-16 00:00:00,홍구|곽윤기|가짜사나이|가짜사나이2기|가짜사나이2|윤기|쇼트트랙|국가대표|홍토리|12번|12번 교육생|빙상|먹방|홍구 먹방|먹방토크|쇼트트랙 선수|올림픽,1331775,13646,253,1564,https://i.ytimg.com/vi/CUUZn755edw/default.jpg,False,False,#홍구#곽윤기#가짜사나이구독과 좋아요는 저희에게 큰 힘이 됩니다!구독 :: https://bit.ly/2ICyJOt각종 문의는? dpfgc3@nate.com아프리카 방송국 :: http://afreecatv.com/dpfgc3홍구 하이라이트 :: https://bit.ly/2KtGviJ스타크래프트 모음 :: https://bit.ly/2KjXkxl먹방 모음 ::https://bit.ly/2MuZoPw홍트콤 :: https://bit.ly/2tOwwds종합 게임 :: https://bit.ly/2yTKj8f육아일기 :: https://bit.ly/2xU97JE시청해주셔서 감사합니다!Music provided by 브금대통령Happy Family - https://youtu.be/2vAJDpUbAK4Track : 코믹한 BGM 모음  - https://youtu.be/M3j0QKsiIPcTrack : 청춘 로맨스 - https://youtu.be/yu5vTRS9DpE,https://www.youtube.com/watch?v=CUUZn755edw,2020-10-08
2085,gZ23D1DH2Ws,임포스터 in 어몽어스 애니메이션,2020-10-08 09:00:07,UCqgxGebwwkoldbl3h7UoUiQ,도애니 DO animation,20,2020-10-15 00:00:00,Webani|animation|anime|어몽어스|among us|어몽어스 애니매이션|among us animation|어몽어스 애니|임포스터|Impostor|#어몽어스|#어몽어스 애니메이션,322852,6543,214,652,https://i.ytimg.com/vi/gZ23D1DH2Ws/default.jpg,False,False,안녕하세요! 이번에도 어몽어스 애니메이션이네요.이 시리즈는 언제쯤 완결이 날까요?생각보다 빠를지도 몰라요 ! 오늘도 놀러와줘서 고마워요. 다음에 또 봐요 !#어몽어스애니메이션 #AMONGUSANIMATION──[▶] 재생목록 바로가기 : https://goo.gl/SEdqqP* 구독하기(subscribe) : https://goo.gl/pt1tGW──,https://www.youtube.com/watch?v=gZ23D1DH2Ws,2020-10-08
2086,AHikmx0eVXM,Weki Meki 위키미키 - COOL M/V,2020-10-08 09:00:07,UCCGZK5dPJk6p6x2n6obqULg,Weki Meki 위키미키,10,2020-10-14 00:00:00,Weki Meki|위키미키|최유정|김도연|지수연|엘리|세이|루아|리나|루시|ChoiYoojung|JiSuyeon|KimDoyeon|Elly|SEi|Lua|Rina|Lucy|판타지오|판타지오뮤직|fantagio|music|WekiMeki|NEWRULES|NEW_RULES|티저|뮤비티저|Teaser|컨셉필름|Concept Film|Break|NEW|RULES|Take|Highlight Medley|하이라이트메들리|하라메|COOL|Sweet Dreams|D-DAY|우리라는 이유|Just Us|우리라는 이유(Just Us)|100 FACTS|COOL Eng. Ver.|100 FACTS (COOL Eng. Ver.)|NEW RULES,10806382,169891,1659,17319,https://i.ytimg.com/vi/AHikmx0eVXM/default.jpg,False,False,#WekiMeki 4th Mini Album [#NEW_RULES]‘#COOL’ M/V OPEN!▶ Twitter : https://twitter.com/WekiMeki▶ Facebook : https://www.facebook.com/WekiMeki▶ Instagram : https://www.instagram.com/weki_meki▶ Weibo : http://weibo.com/WekiMeki▶ Fancafe : http://cafe.daum.net/WekiMeki,https://www.youtube.com/watch?v=AHikmx0eVXM,2020-10-08
2087,5h48GEoLD-c,블랙핑크의 텐션 넘치는 감옥 탈출🔐 로제 성대모사부터 챙츄 랩까지 한가득🖤 | BLACKPINK_Lovesick Girls | 인터뷰감옥 | Prison Interview,2020-10-08 09:00:08,UCqq-ovGE01ErlXakPihhKDA,1theK Originals - 원더케이 오리지널,24,2020-10-14 00:00:00,BLACKPINK|블랙핑크|제니|리사|로제|지수|블랙핑크 원더케이|블랙핑크 예능|블랙핑크 넷플릭스|블랙핑크 인터뷰|Lovesick Girls|블핑|인터뷰감옥|원더케이|Prison Interview|YG|젠츄리챙,2815218,324311,2028,11085,https://i.ytimg.com/vi/5h48GEoLD-c/default.jpg,False,False,"블랙핑크의 텐션 넘치는 감옥 탈출🔐 로제 성대모사부터 챙츄 랩까지 한가득🖤 | BLACKPINK_Lovesick Girls | 인터뷰감옥 | Prison Interview#블랙핑크#LovesickGirls#인터뷰감옥BLACKPINK#New1theKOriginal#1theK#원더케이#원더케이오리지널저는 몰랐어요.. 우리 블핑이들 텐션이 이렇게나 좋은지..----------------------------------------------------------------------------K-POP Wonderland, 1theKK-POP의 모든 즐거움이 여기에,새롭게 바뀐 1theK 로고와 다양한 오리지널 컨텐츠를 만나보세요!----------------------------------------------------------------------------K-POP Wonderland, 1theKAll the joys of K-pop here!1theK has a wide variety of Original Content----------------------------------------------------------------------------▶1theK YT : https://www.youtube.com/1theK▶1theK FB  : http://www.facebook.com/1theK▶1theK TW : https://twitter.com/1theK▶1theK Kakao : https://goo.gl/otRpZc▶1theK TikTok : https://vt.tiktok.com/2mSMBS",https://www.youtube.com/watch?v=5h48GEoLD-c,2020-10-08
2088,vnZA-0h6vwk,황광희 BBQ 치킨 광고 찍었다 [치킨왕],2020-10-08 09:00:08,UCtBEvLjoJerm7jstvWRuA9Q,Official BBQChicken,24,2020-10-16 00:00:00,비비큐|bbq|네고왕|달라스튜디오|광희|메이플버터갈릭치킨|치킨|MUKBANG|먹방|예능|무한도전|정글의법칙,2729351,52572,433,3349,https://i.ytimg.com/vi/vnZA-0h6vwk/default.jpg,False,False,"3:58 인간치킨이 되어버린 황광희ㅋㅋㅋㅋㅋㅋㅋ네 500만뷰 공약 광고촬영 맞습니다ㅋㅋㅋㅋㅋ기획: BBQ, 에이앤이 코리아제작: 에이앤이 코리아촬영: 플라스틱필름, 스탠바이#비비큐 #bbq #치킨왕 #광희 #광희나는 #메이플버터갈릭치킨",https://www.youtube.com/watch?v=vnZA-0h6vwk,2020-10-08
2089,eVz7oUnn-JA,던 (DAWN) - '던디리던 (Feat. Jessi)' MV Teaser 2,2020-10-08 09:00:13,UCLDLJuFIOQZixN8jtEI8X5w,DAWN,10,2020-10-12 00:00:00,던|DAWN|20201009_6PM|던디리던|DAWNDIDIDAWN|제시|Jessi|PNATION|피네이션|뮤직비디오|뮤직|비디오|티져|Teaser|Mini Album|Crush|가마니|딴따라|호랑나비|평소와 똑같은 밤|이던|펜타곤|현아|싸이|눈누난나|NUNU NANA,665853,95132,332,2589,https://i.ytimg.com/vi/eVz7oUnn-JA/default.jpg,False,False,던 (DAWN) - '던디리던 (Feat. Jessi)' MV Teaser 2던 (DAWN) 1st Mini Album '던디리던'1. 던디리던 (Feat. Jessi) *title track2. 가마니 (Feat. Crush)3. 딴따라4. 호랑나비5. 평소와 똑같은 밤2020.10.09 (Fri) 6PM KST-  Spotify : https://open.spotify.com/artist/7DxCK6bwfQC3F2ajZ02R2F-  iTunes & Apple Music : https://music.apple.com/au/artist/dawn/1486119054-  DAWN Official YouTube : https://www.youtube.com/officialdawn-  DAWN Official Instagram : https://www.instagram.com/hyojong_1994-  DAWN Official Weibo : https://www.weibo.com/hyojong1994-  DAWN Official TikTok : https://www.tiktok.com/@dawn.official-  P NATION Official Instagram : https://www.instagram.com/pnation.official-  P NATION Official Facebook : https://www.facebook.com/pnation.official-  P NATION Official Twitter : https://twitter.com/OfficialPnation-  P NATION Official Weibo : https://weibo.com/pnation#던 #DAWN #던디리던 #DAWNDIDIDAWN #제시 #Jessi#PNATION #피네이션 Copyrights 2020 ⓒ P NATION All Rights Reserved,https://www.youtube.com/watch?v=eVz7oUnn-JA,2020-10-08
2090,tvFGqRQJqAQ,날광고 15s-3. 잘생겼다~ 멋있다~ 맛있다~ [치킨왕],2020-10-08 09:00:18,UCtBEvLjoJerm7jstvWRuA9Q,Official BBQChicken,24,2020-10-16 00:00:00,[None],1303526,21188,176,996,https://i.ytimg.com/vi/tvFGqRQJqAQ/default.jpg,False,False,"잘생겼다, 멋있다, 맛있다!네 치킨이요메이플+버터+갈릭 조합으로 장난아닌 맛✌️광희나는 메이플버터갈릭치킨✌️기획: BBQ, 에이앤이 코리아제작: 에이앤이 코리아촬영: 플라스틱필름, 스탠바이#비비큐 #bbq #치킨왕 #광희 #광희나는 #메이플버터갈릭치킨",https://www.youtube.com/watch?v=tvFGqRQJqAQ,2020-10-08
2091,tp-nziwyRMQ,"날광고 15s-1. 19,900원 네고했습니다 [치킨왕]",2020-10-08 09:00:25,UCtBEvLjoJerm7jstvWRuA9Q,Official BBQChicken,24,2020-10-17 00:00:00,비비큐|bbq|네고왕|달라스튜디오|광희|메이플버터갈릭치킨|치킨|MUKBANG|먹방|예능|무한도전|정글의법칙,1196402,18500,236,1013,https://i.ytimg.com/vi/tp-nziwyRMQ/default.jpg,False,False,"이야↗↗ 이게 말로만 듣던↗넙-적 다리↗ 아니야↗↗치킨왕 회장님도 만족한✌️ 광희나는 메이플 버터갈릭치킨 ✌️여러분도 한 번 잡숴봐!기획: BBQ, 에이앤이 코리아제작: 에이앤이 코리아촬영: 플라스틱필름, 스탠바이#비비큐 #bbq #치킨왕 #광희 #광희나는 #메이플버터갈릭치킨",https://www.youtube.com/watch?v=tp-nziwyRMQ,2020-10-08
2092,pxwcxD_oDDs,내 마음을 누르는 일 Daystar,2020-10-08 09:01:10,UCeRsoHb1oCG_EbXfsxWRZ2g,KYUHYUN - Topic,10,2020-10-16 00:00:00,KYUHYUN|내 마음을 누르는 일 Daystar,186981,1347,76,23,https://i.ytimg.com/vi/pxwcxD_oDDs/default.jpg,False,False,"Provided to YouTube by SM Entertainment내 마음을 누르는 일 Daystar · KYUHYUN내 마음을 누르는 일 Daystar℗ SM Entertainment, Label SJReleased on: 2020-10-08Music  Publisher: Copyright ControlMusic  Publisher: Copyright ControlLyricist: Seo Ji EumLyricist: 1601Composer: 1601Arranger: 1601Auto-generated by YouTube.",https://www.youtube.com/watch?v=pxwcxD_oDDs,2020-10-08
2093,QyKe4VXDx5I,NCT DREAM 엔시티 드림 '무대로 (Déjà Vu;舞代路)' Track Video,2020-10-08 09:03:54,UCwgtORdDtUKhpjE1VBv6XfA,NCT,10,2020-10-16 00:00:00,NCT|NCT U|Resonance|NCT 2020|NCT 2020 misfit|NCT 2020 resonance|SMTOWN|NCT 127|NCT DREAM|WayV|엔시티|엔시티 2020|무대로|Deja Vu,15973606,774695,2267,111913,https://i.ytimg.com/vi/QyKe4VXDx5I/default.jpg,False,False,🎬‘Make A Wish (Birthday Song)' MV: https://youtu.be/tyrVtwE8Gv0NCT's 2nd album NCT - The 2nd Album RESONANCE Pt. 1 is out!🎧Listen and download on your favorite platform: https://nct2020.lnk.to/resonanceID🎁Official store: https://nct2020official.comNCT Officialhttp://www.nct2020.comhttp://www.youtube.com/nctsmtownhttp://www.facebook.com/NCT.smtownhttp://www.instagram.com/ncthttp://twitter.com/NCTsmtown#NCT #RESONANCE #DéjàVu #RESONANCE_Pt1 #NCTDREAM,https://www.youtube.com/watch?v=QyKe4VXDx5I,2020-10-08
2094,6vrJ34BQ0T8,"[속보] 손혁, 3위팀 감독 사퇴라니...수석 대신 35세 대행 선임 의미",2020-10-08 09:13:22,UCgIArNc-zdwFDmZm0X9QE_A,야구부장의 크보 핵인싸,17,2020-10-14 00:00:00,손혁|손혁 사퇴|자진사퇴|키움|김창현|홍원기|김치현,108886,1553,88,1075,https://i.ytimg.com/vi/6vrJ34BQ0T8/default.jpg,False,False,,https://www.youtube.com/watch?v=6vrJ34BQ0T8,2020-10-08
2095,KkwvFZIrd68,"환절기엔 뽕숭아가 보약! 오늘의 '트미'부터 무명 시절 이야기까지, 뽕숭아학당 F4의 입담폭발 릴레이 인터뷰를 공개합니다. 엔도르핀 충전하세요! I ELLE KOREA",2020-10-08 09:39:08,UCchRZl7m_2EZgY60m9qNPDg,엘르 코리아_ELLE KOREA,24,2020-10-16 00:00:00,[None],277184,14968,147,2347,https://i.ytimg.com/vi/KkwvFZIrd68/default.jpg,False,False,"#ELLEpossible #뽕숭아학당 #임영웅 #영탁 #이찬원 #장민호 많이 기다리셨죠? 뽕숭아학당 F4와 '엘르'의 만남, 그 두 번째 이야기를 드디어 공개합니다. 까도 까도 새로운 이야기가 샘솟는 뽕숭아학당 F4 멤버들! 작고 사소한 이야기부터 '엘르' 통해 처음 털어놓는 마음속 깊은 이야기까지, 뽕숭아학당 F4 멤버들에 대해 여전히 궁금한 것이 많은 팬들을 위해 질문 폭탄을 준비했어요! 뽕숭아학당 F4의 입담이 아주 폭발합니다. 보고 또 봐도 유쾌하고 즐거운 트롯 맨들, 지금 바로 만나보세요! 🎁 [EVENT] 뽕숭아학당 F4의 사인이 담긴 세상에 딱 하나뿐인 미션 폴라로이드를 이번에도 드립니다🙌 1. 뽕숭아학당의 미션엘파서블 #2 영상에 ‘좋아요’를 눌러요. 2. ‘빵터짐’ 구간에 대한 센스만점 댓글과 이메일 주소를 남긴 후 (ex) 01:37 가방이 있나요? / sample@email.co.kr )3. 엘르 유튜브 채널 ‘구독’까지 누르면 참여 완료! ✔️이벤트 기간 : 10월 8일(목) ~ 10월 12일(월) 00시까지 ✔️당첨 인원 : 4명 ✔️당첨된 분께는 10월 13일 화요일에 개별 이메일 드립니다.🎁 [뽀너스 EVENT] 🎁뽕숭아학당 엘르 웹사이트에서 진행하는 재미있는 이벤트도 놓치지 마세요!https://bit.ly/2FZDQ03FILM 이은혜 정주원CAMERA 안우상EDITOR 양윤경+엘르 코리아가 선별한 패션, 뷰티, 라이프스타일 뉴스를 지금 만나보세요!유튜브 구독 : https://goo.gl/a2ZrKj 웹사이트 : https://www.elle.co.kr/인스타그램 : https://www.instagram.com/ellekorea/페이스북 : https://www.facebook.com/ellemagazine.kr",https://www.youtube.com/watch?v=KkwvFZIrd68,2020-10-08
2096,0Aa18sFUU6Q,슈퍼맨이 돌아왔다 351회 티저 - 도플갱어네,2020-10-08 09:40:10,UC3m0s5XAQydCtbLHc8j1Uog,KBS 한국방송,24,2020-10-16 00:00:00,KBS|한국방송공사|mylovekbs|예고|티저|슈퍼맨이 돌아왔다|슈돌|슈퍼맨|아빠|육아도전|육아|리얼리티|관찰예능|공동육아|육아대디|육아24시|육아꿀팁|장윤정|도경완|도연우|도하영,813185,8796,311,724,https://i.ytimg.com/vi/0Aa18sFUU6Q/default.jpg,False,False,슈퍼맨이 돌아왔다 351회 티저 - 도플갱어네,https://www.youtube.com/watch?v=0Aa18sFUU6Q,2020-10-08
2097,4H-bGlxZ7iI,편의점에서 한 가지 글자 수대로 장보기 대결! ㅋㅋㅋㅋ,2020-10-08 10:21:54,UCmzMtXrJgfCqA0rfhz8_P4A,웃소 Wootso,23,2020-10-15 00:00:00,웃소|wootso|유형|쿡소|호불호|삼자대결|장보기대결|웃소 장보기|웃소 장보기대결|글자수 장보기|글자 수 장보기 대결|웃소 편의점|웃소 글자|웃소 색깔별|웃소 마트,894280,14796,853,5139,https://i.ytimg.com/vi/4H-bGlxZ7iI/default.jpg,False,False,"삼자 우기기 대결~웃소의 다양한 굿즈는!? 웃소샵 ▶ http://wootsoshop.com웃소 구독하기 ▶ https://goo.gl/UnQQTU웃소 멤버십 [아코] 가입하기 ▶ http://youtube.com/wootso/join[웃소는?!]웃소 채널은 함께 공감할 수 있는 유형별 공감 영상, 보드게임을 비롯한 다양한 게임 및 챌린지 등 함께 모여 왁자지껄 떠들며 즐기는 모든 웃음을 영상으로 담습니다! 뚜루뚯뚯 뚜뚜뚜루루~ 우~웃소!웃소 Wootso홈페이지 http://wootso.com웃소샵 http://wootsoshop.com인스타그램 http://instagram.com/wootso",https://www.youtube.com/watch?v=4H-bGlxZ7iI,2020-10-08
2098,sTmT9yb_95Y,[아이유의 집콕시그널2] 아이유x김이나 작사가들의 토크 Ep.2-1,2020-10-08 10:30:07,UCU8MOmf9frN_60TIGvwlQEQ,EDAM Entertainment,24,2020-10-16 00:00:00,아이유|iu|IU's Homebody Signal2|Homebody|Signal|집콕|집콕시그널|시그널|김이나|작사|작사가|대화의희열|유희열|스케치북|팔레트|노래|분홍신|모던타임즈|너랑나|KPOP|에잇|호텔델루나|나의아저씨|페르소나|돌핀|블루밍|가을아침|다이어트|먹방|ASMR|이지금|아티비|아이유TV|이름에게|무릎,808531,31809,216,2358,https://i.ytimg.com/vi/sTmT9yb_95Y/default.jpg,False,False,[IU's Homebody Signal2] IU x Kim Eana Lyricists Talk Ep.2-1[아이유의 집콕시그널2] 아이유x김이나 작사가들의 토크 Ep.2-1#집콕시그널 #아이유 #IU,https://www.youtube.com/watch?v=sTmT9yb_95Y,2020-10-08
2099,JFJDURAGggo,[제작비지원][ENG SUB] 백현이 패션 언박싱 ASMR은 처음이지?,2020-10-08 11:00:07,UCcwtrNEHqIKU_1-w6Se1i_w,Harper's BAZAAR Korea,24,2020-10-14 00:00:00,백현|변백현|백현패션|백현언박싱|백현손민수|BAEKHYUN|EXO|EXO-CBX|SuperM|엑소|엑소엘|EXO L|백현 ASMR|ASMR|unboxing|큥튜브|큥튜버|백현 코트|Burberry|버버리|버버리 언박싱|백현 브이로그|귀여워|강아지|Kyoong|인기동영상|Fashion|Shopping|패션템|Fashion unboxing|손민수|손민수템|백현 캔디|백현 happy|백현 청소|백현 옷장|백현 정리|백현 꿀팁|백현 화보|슈퍼엠|수퍼엠|수퍼M|superM 호랑이,214530,40588,65,2603,https://i.ytimg.com/vi/JFJDURAGggo/default.jpg,False,False,"Bㅓ버리의 앰버서더니까! 대놓고 #언박싱 하는 패션 유튜버 #백현. 큥튜버가 왔습니다. 그것도 #ASMR 로 말이죠. 어디서도 본 적 없는 백현의 패션템 소개하기. 혹시 그거 알아요? 1일 BBB번 봐야한다는거.. 우왕좌왕 오목조목 설명하는 큥버서더 백현 보고 들으면 기분이 조크든요.🎁바자의 특별한 선물 EVENT🎁****단 하나뿐인 특별한 바자 10월호! 인스타에서 공개했던 티징 속 백현이 직접 드로잉한 투명 필름과 함께 드립니다. (.'ㅅ')👉🏻티징 보러가기: http://bit.ly/36JjFhz 🐶참여 방법*바자 유튜브 채널 ‘구독’ 버튼을 누르고 본 영상에 대한 후기를 이메일 주소와 함께 댓글로 남겨주세요.(큥덕큥덕한 댓글 환영!)단 1분에게, 백현이 티징에서 직접 그린 투명 필름과 바자 10월호를 드립니다. (***투명필름은 따로 2차 가공을 하지 않은 원본 그대로 전달 예정입니다. 필름소재와 드로잉 펜의 특성상 약간의 지워짐이 있을 수 있어요.(이모티콘 부분 ‘ㅅ’) 이 부분은 유념해 주시고 댓글 남겨주세요! 🧸이벤트 기간: 10월 8일(목)~10월14일(수) 🤎당첨자 발표: 10월 15일(목) 발표 및 당첨자에게 개별 이메일 발송*본 촬영은 모든 스태프가 소독 및 생활 속 거리두기 지침을 준수하며 진행했습니다* Film/ NMW Digital Editor/ 가남희 Fashion Editor/ 서동범Stylist/ 김세준Hair/ 박내주 Makeup/ 현윤수-ENG SUB/ 문혜준백현 화보 맛집: https://bit.ly/33gUiBT",https://www.youtube.com/watch?v=JFJDURAGggo,2020-10-08
