review_index,date,review,hotel_index,label,classified_label
34,2022년 1월,"체크인!!!  오후4시 체크인도 다른 호텔에비해 무려 1시간이나 늦는데 체크인 하면서 1시간을 기다렸어요..;; 
이점은 정말 고쳐야 할것 같아요.",1,1,
35,2022년 1월,프론트 직원 응대가 미흡,1,1,
36,2022년 1월,드라이기가 좀 별로예요,1,1,
37,2022년 1월,엘리베이터가 탑승 초과일때 승강기에서 누른 층만 이용가능 할수 있었으면 좋겠습니다.,1,1,
38,2022년 1월,"의자가 1개만 있었는데 1개 요청하면 더 가져다 주시는 걸 나중에 알아서 조금 아쉬웠습니다.
수영장은 하루에 1타임만 사용할 수 있는 부분 또한 아쉬웠네요.
그래도 전체적으로 좋은 서비스와 시설에서 편안하게 지내고 왔습니다.",1,1,
39,2022년 1월,"조식은 간단하게 먹기에 좋았으나 음식이 떨어지면 금방 채워지지 않은게 좀 아쉬웠습니다.
주차장은 IFC몰이랑 같이 사용해서 그런지 자리 찾기 진짜 힘들더라고요. 몇바퀴 돌았는지 모르겠어요.",1,1,
40,2022년 1월,룸서비스로 얼음요청했는데 바쁜지 못받았음,1,1,
41,2022년 1월,4시 체크인 예정이었는데 방이 준비가 안 되어 6시가 다 되어서야 체크인 할 수 있었습니다.,1,1,
42,2022년 1월,주차장 이용이 아무래도 다른 쇼핑몰이랑 공유를 해야 하다 보니 처음 도착할 때 매우 헷갈려서 근처 주변을 몇 바퀴 빙빙 돌았었네요. 외부에 표지판 같은 게 더 있었으면 좋을 것 같아요.,1,1,
43,2022년 1월,"룸에 의자가 하나여서 남편하고 같이 갔는데 룸 서비스 시켜서 먹을 때나 식사 할때 불편했습니다.
폼클렌징, 면도기, 빗 등이 없어서 불편했습니다.",1,1,
44,2022년 1월,"제스트 이용 시, 직원들의 이용 안내가 너무 없어서 불편했습니다.",1,1,
45,2022년 1월,"어매니티중 칫솔 하나가 안쪽 비닐도 벗겨져있고 치약도 이미 사용된거더라구요.
그냥 이전 방문객이 사용했던거 그대로 두신건가본데, 확실하게 확인을 해주셨음 좋겠어요.
칫솔 챙겨왔어서 그냥 제꺼 쓰긴 했는데.. 조금 불쾌했습니다.",1,1,
46,2022년 1월,체크인 아웃 시 줄이 좀 길어서 대기를 오래했습니다,1,1,
47,2022년 1월,객실에 테이블이 없어서 다과를 올려놓을 곳이 없어서 아쉬웠어요,1,1,
48,2022년 1월,"직원이 친절하지 않은 사람이 있음, 룸 안에 펜과 메모지가 없음. 워크스테이션은 넓은데 기본적인 펜과 메모지가 없음. 난방을 틀었으나 추웠음",1,1,
49,2022년 1월,조식이 기대했던거보다 부족했습니다.,1,1,
50,2022년 1월,ㅠㅠ비싼점,1,1,
51,2022년 1월,정확한지 모르겠지만 화장실 변기쪽 갈 때마다 담배냄새가 났습니다,1,1,
52,2022년 1월,"체크인과 체크아웃시 너무 기다림이 길었어요ㅜ 
엘베타고 나오는데 사람이 붐벼서 오랫동안 기다렸는데 어쩔수없는거겠죠 아무튼 그게좀 아쉬워요",1,1,
53,2022년 1월,조식이 가짓수는 많지만 맛이 아쉬움,1,1,
54,2022년 1월,침대가 좀 불편하고 방음이 잘안되는거같음,1,1,
55,2022년 1월,"옆건물이 사무실인데 바로 보여서 아주 아쉬워요 커튼치면 되긴 하는데
야경은 10~11시 이후부터 맘편히 볼수있어서 그게 조금 아쉽네요",1,1,
56,2022년 1월,다른 후기 보면 생일이나 결혼기념일 방문이라고 메모 남기면 소소한 서비스가 있어 미리 메모를 남겨 기대를 했는데 아무것도 없어서 ^^ 뭐 의무사항은 아니지만 좀 서운하더라구요~ 저희가 케이크 사다 놀았어요.,1,1,
57,2022년 1월,엘리베이터가 너무빨라서 귀가아파요~~,1,1,
58,2022년 1월,음식놓을 상이 부족하고 위치변경이 안되 아쉬웠습니다.,1,1,
59,2022년 1월,객실 내 현관 쪽 동작 감지 전등 점멸등이 문을 닫고 불을 다 소등한 상태에서 저절로 켜지는 일이 2회 있어 잠을 깨서 불편하였다. 욕실은 대체로 고급스럽고 청결하고 좋았으나 화장실 비데 작동 버튼 작동이 한번에 잘 되지 않았고 확대경 주위 램프등이 켜지지 않아서 불편하였다.,1,1,
60,2022년 1월,"침대..침대토퍼...아...심각한 꺼짐과 흔들림
환기팬?히터? 암튼 그 두가지를 다 하는 환풍구기계소리가 병아리를 때려잡아넣었나싶게 뺙뺙뺙 미세하게 잔잔하게 뺙뺙 거리는게 쉬지않고들려서 티비를 끄고 수면할때는 최악이었음
고층의 한기에 꺼버리지도못하고 예민하지않지만 술기운에 뻣어야 취침.. 25층",1,1,
61,2022년 1월,"모두 편했고 좋았는데,
딱한가지 아쉬운점은 
조식부페 레스토랑에서 음식을 고르는 동선이 불분명해서 
오고 가는 사람들이 자주 부딪힐정도로 불편했습니다.
이점은 앞으로 코로나 시국이 좋아지면 더 많아질 투숙객을 
위해서 꼭 개선되어야 할점이라고 생각합니다.",1,1,
62,2022년 1월,난방때문이겠지만 객실이 많이 건조했습니다.,1,1,
63,2022년 1월,작은 수영장이 아쉬워요,1,1,
64,2022년 1월,전화기에서 계속 통화연결음이 들리고 욕조가 커서 좋은데 옆 손잡이가 없어서 키작으신 분은 미끄러지기 쉬울 거 같아요,1,1,
65,2022년 1월,문입구쪽 방음이 미흡했습니다,1,1,
66,2020년 9월,일찍도착했는데 체크인서비스에서 편안한체크인이 되지않았어요..주말이라바쁜지는 알지만 ;;;,1,1,
67,2022년 1월,화장실 세면대 물 내려가는게 문제가 있어서 불편했어요,1,1,
68,2021년 10월,"호텔 안에 있는 다양한 시설들을 다 이용하지 못해서 아쉬웠어요
다음엔 2박으로 고고",1,1,
69,2021년 8월,"화장실에 티비가 있었는데 욕조에 앉아서 보기에는 불편했어요ㅜㅜ
잘  보이지 않아서 그게 제일 아쉬웠어요ㅜ",1,1,
70,2021년 8월,"수영장 이용시간이 정해져있어 좀 불편했고, 수영장을 이용하는 고객들의 마스크 미착용이 좀 신경쓰였습니다. 이외에는 모두 좋았습니다.",1,1,
71,2021년 7월,객실 쇼파 밑에 청소가 제대로 안돼있는게 조금 아쉬웠어요,1,1,
72,2021년 3월,조식식당이 너무 붐벼서 아쉬웠습니다.,1,1,
73,2020년 12월,"음 일부직원이 부정하는 응대를 할 때 손님 질문에 따른 수동적인 완곡한 화법이 아니라 능동적이고 우회적인 쿠션화법을 쓰시면 좀 더 좋을 것 같아요.
아마 저도 취중이고 그래서 부정적으로 대하셨을 것 같습니다만 만약 저였다면 다음날 다시 방문할 사람한테 그렇게 하지 않을 것 같아요. 메모도 그렇구요.
결제 관련해서 문제가 있었는데, 이후에도 호텔측 실수로 다른 관련한 다른 일이 발생해서 설마 이 사람들이 나 돈없어서 먹튀할거라 생각하나? 이런 생각이 들었거든요.
이전 다른호텔들에서는 만약 카드결제가 안 되는 경우 여러방법를 제시해주며 최대한 민망하지 않게 해주세요. 
그런데 이번 투숙 하면서 들었던 생각은 사실 ‘이 사람들 뭐지’ 입니다. 왠만해선 안 좋은 후기, 특히 사람에 대한 평가는 주관적인게 많이 들어가니 지양하려고 하는데 이런 일은 여태 동급호텔 이용하면서 처음 겪어서 작성합니다.",1,1,
74,2021년 10월,라운지 음식이 부족했음,1,1,
75,2021년 9월,"음식의 간이 너무 짠 메뉴가 몇개있었습니다.
객실에 테이블의자가 하나뿐이라 2인이 테이블이용이 불가능했습니다.",1,1,
76,2021년 8월,아침식사메뉴 한정적,1,1,
77,2021년 7월,"날파리 한마리가 있어서 가끔 눈에 나타났다 사라지는게 아쉬웠음. 복도, 화장실 바닥은 대리석이고 물 사용 후 바닥 미끄러워 아기 넘어지지 않도록 조심 꼬는 출입통제 필요.(어느 호텔이나 마찬가지일듯)",1,1,
78,2021년 4월,수영장물이 좀 차가워 아이들이 수영하기에 조금 힘들었음,1,1,
79,2021년 3월,조식이 아쉬워요,1,1,
80,2020년 3월,"객실상태는 대체로 만족했으나 조식은 기대 이하였다
늦게 가서 음식이 바로채워지지않은것 까지는이해하겠으나 빵코너에서 추가요청하니 약간 무안했음. 표정도 안좋고 쏟아붓는것처럼 채워넣는 모습이 좀 아쉬웠음",1,1,
81,2020년 6월,치약칫솔이 구비가 안되어있었어요 아마 실수로 빠져있었던 거 같아요! 그 외 아쉬웠던 점은 없습니다-! 모든 것이 좋았어요~! 다음에도 이용할 의사 있습니다. ㅎㅎㅎ,1,1,
82,2021년 10월,딱히 없었어요 체크아웃할때 주차할인이 정해져있는게 아쉬었네요,1,1,
83,2021년 6월,하루만 머문 게 너무 아쉽습니다.,1,1,
84,2021년 10월,Booking 닷컴과 콘래드와의 예약 시스템의 석연찮은 문제점 발생되어 황당했으나 호텔측 직원분들의 친절함과 배려에 그냥 넘어감.,1,1,
85,2021년 12월,아쉬운 점은 없었습니다.,1,1,
86,2021년 10월,"• 어메니티 브랜드
• 미니 냉장고 온도
Shanghai Tang도 나쁘지 않았지만 장기적으로 콘래드가 국내에서 가져가고싶은 브랜드 이미지를 어메니티 브랜드에 반영해보셨으면 좋겠습니다. 
미니 냉장고의 경우, 개인적인 의견이지만 온도가 미지근하다고 느꼈습니다. 중요하다고 생각되는 부분은 아니라 따로 요청드리진 않았습니다.",1,1,
87,2021년 10월,에어컨? 키면 소리가 좀 들려요 잘때 근데 전 그렇게 크게 신경쓰는 편은 아니라 잘 잤는데 친구는 조금 잠을 못 잤어요,1,1,
88,2021년 10월,"같은층에 아이동반 손님이 있었는지 시끄러웠어요 복도에서 뛰고 방에서 나는 소리까지 
시끄럽더라구요  방음이 잘 되는거 같지는 않았어요 
방안에 의자가 한개밖에 없었던 점도 조금 아쉬웠어요",1,1,
89,2021년 5월,"약간 개인적인 아쉬움인데, 요청드리면 바로바로 가져다주시긴 했는데 샤워볼(or 샤워용스펀지), 면도기 없었던거 좀 아쉬웠어요. 고데기도.. 제가 챙겼어야 하는데 못챙긴거지만요^^; 다만 고데기는 모르겠고 다른건 요청드릴때마다 바로바로 가져다주셨습니다! 재방문 의사는 있습니다!!! 다만 다음번엔 이번에 아쉬웠던 부분들 꼼꼼히 챙겨가야할거같아요.",1,1,
90,2021년 5월,호텔 객실 와이파이 요금은 좀....,1,1,
91,2021년 4월,조식 메뉴 ㅠ,1,1,
92,2021년 2월,"딱 한가지 수건 두장을 부탁했는데
오분내로 가져다준다는게 삼십분이나걸리고
전화를 네번이나 하게 만들었습니다.",1,1,
93,2021년 2월,수영장시설이 작아 아쉬웠어요 아이들과 방문했는데 ᆢ수영장물에서 나와 잠깐이라도 추운 몸을 녹일 자쿠지라도 있었으면 하는 마음 이에요,1,1,
94,2021년 2월,객실 사이 방음이 제대로 안되는 것 같아요. 룸 안에서 다른 객실의 소리가 고스란히 들립니다. 예민하신 분들은 컴플레인 거실것 같아요.,1,1,
95,2020년 11월,방음이 조금만 더 잘 되면 좋겠어요~,1,1,
96,2020년 6월,"화장대등 먼지가 조금씩 있어서 아쉬웠어요 채광이 좋아서 보인건지는 모르겠습니다만,
살짝..아쉽긴했습니다.
그외 시설 등 은 만족합니다. 재방문 하고싶어요 :)",1,1,
97,2020년 5월,"객실에 필기구와 종이가 없었어요
객실에 빗이 없었어요
객실 테이블에 의자가 하나밖에 없어서 둘이 테이블을 사용하려면 의자를 하나 더 요청해야 했어요.
조식뷔페 먹는 장소가 너무 추웠어요.",1,1,
98,2020년 3월,좁음,1,1,
99,2022년 1월,티테이블과 소파가 언발란스,1,1,
100,2021년 12월,"조식에 사람들이 매우 많아 대기해야합니다.
7시 정도에 가면 바로 식사 가능한데... 늦게 일어나서 8시가 넘어서 가면 기다렸다 먹어야합니다.
음식은 맛있어요",1,1,
101,2021년 9월,"디럭스룸에 의자가 하나밖에 없어서 불편했습니다. 혼자 숙박하는 경우보다 둘이 하는 경우가 많을 텐데, 따로 요청하지 않아도 의자가 2개 있으면 좋을 것 같습니다.",1,1,
102,2021년 9월,다양하지못한 룸서비스 메뉴와 높은가격. 주위에 배달이나 포장 식당들이 많아서 메릿이 없어보임.,1,1,
103,2021년 8월,"청결도가 아쉬움. 전날 숙박한 고객의 콘텍트렌즈를 발견했고, 머리카락도 있어서 이 부분은 개선이 필요할 듯 함.",1,1,
104,2021년 8월,"수영장 물이 차갑고 아이들이나 몸을 녹일수 있는 중간 따뜻한 물이 있는 풀이 없음
수영장 가드 잘 안보임
옷장으로 연결된 간이 문으로 옆방 소음 크게 들림
시설 유지보수 잘 안되는거 같음
욕조 물빠짐 고장…세면용품 일부가 빠져있고…ㅋ
단 문제 발생시 응대는 빠르고 만족",1,1,
105,2021년 4월,조식 메뉴 종류가 조금 더 많았으면.. 그리고 물이나 음료를 마실 수 있는 위치가 한군데 더 있었음 합니다. 위에 쿵쾅거리는 발소리가 은근히 많이 들립니다. 직원들 움직이는 소리인지는 인지 못했으나 간간히 들리는 발 소리가 거슬렸어요. 간간히 보이는 머릿카락들이 청소가 제대로 안된 느낌을 받았어요.,1,1,
106,2021년 4월,딱 하나! 구두주걱이 안보여서 의아했어요,1,1,
107,2020년 10월,객실의자 매장의자 등 틑어지고 오래된 느낌이 많음.,1,1,
108,2020년 12월,머무는동안 편안해서 좋았습니다 다만 욕실 바닥이 미끄러워서 아이가 넘어질뻔했어요,1,1,
109,2020년 12월,다른 객실 문닫는 소리가 침대까지 들립니다.,1,1,
110,2020년 12월,없는데 굳이 꼽자면 코로나 때문에 수영장을 오래 이용못한 점??,1,1,
111,2020년 6월,방음이 좀 약했던듯 합니다.,1,1,
112,2020년 5월,"이제는 파크원건물이 너무 가려서 조망권이 조금 아쉽고, 너무 비싼점만 아쉬워요.",1,1,
113,2020년 5월,"투숙객이 너무너무너무너무 많아서 그런지 침구 교체 요청했는데 두시간 걸렸습니다,, 조식 먹을때도 나름 붐빈다는 시간 피해서 갔는데 도 붐볐어요 ㅠ",1,1,
114,2020년 3월,조식뷔페 쥬스 착즙이었으면 좋았을텐데 아쉬웠어요,1,1,
115,2020년 5월,"주말이라 아무래도 라운지 이용에 시간제약이 있었던 점.
호텔 내부 시설 안내가 충분하지 않았습니다.
다른 부분은 특급호텔답게 훌륭한 응대로 만족했어요.
객실에 바늘,실 키트가 준비되어 있으면 더 좋을 것 같아요.",1,1,
116,2020년 9월,"예약시 뷰에대한 설명이 정확하게 없었던 점, 사진과 객실과의 매칭이 잘 안되어서 한강뷰로 업그레이드가 가능해서 다행이었지만, 설명과 사진만 보고 시티뷰로 묵었다면 조금 속상했을 것 같습니다. 완벽하게 동일한 사진이 아니더라도 요즘처럼 숙소를 고를때 뷰가 중요한 항목을 차지하는 만큼 세부적인 설명이 있다면 좋을 것 같습니다.",1,1,
117,2021년 6월,체크인할때 오래 기다렸어요.,1,1,
118,2021년 5월,"지하주차장의 호텔로의 안내가 부족
지하주차장과 호텔로비와의 엘리안내부족
체크인과 체크아웃을 할때 거리두기가 아쉬웠고 로비의 화장실이 한개인건 충격
체크인하는 시간이 길었음
객실과 숙식은 매우 만족",1,1,
119,2021년 1월,"룸서비스가 너무 빨리 끝나서 아쉬움
어메니티가 다른 5성급 호텔에 비해 별로였음
침대 시트에 무언가 묻었던 자국이 보여서 찝찝했음",1,1,
120,2020년 7월,"샤워실 배수구 곰팡이
조식은 가격대비 별로",1,1,
121,2021년 11월,조식 뷔페 포함으로 예약했는데 공사한다고해서 이탈리안레스토랑이나 제일 끝층에서 아침식사 할 수 있다고 안내받았음. 공사한다고 미리 고지를 안하고 당일 통보라 만족스럽지 않았음.,1,1,
122,2022년 2월,"얼마 안된 건물이라서 깨끗하고 분위기도 좋습니다. 뷔폐 식당이 다른 서울 5성급 호텔보다는 좀 별로입니다.음식 하나하나의 퀼리티는 좋은데, 소진되면 빨리빨리 채워져 있지 않은 것들이 많고 주스는 추가 비용으로 먹어야 한다는 것이 좀 아쉬웠어요.",1,1,
123,2022년 2월,"아침식사: 물티슈, 콘스프 , 크림스프가  없었습니다. 아침 식사는 가성비가 좋지 않습니다... 아침 식사 중인데 먹던 그릇을 다 치우네요.. 무엇인가 개선점이 필요 합니다...",1,1,
124,2022년 1월,막상 먹을만한게 그닥 많지 않았고 샐러드는 지금처럼 본인이 직접 만들어 먹는 형식도 좋지만 이미 만들어진 형태의 샐러드도 몇가지 있으면 좋겠다는 생각이 들었습니다.,1,1,
125,2021년 11월,일회용칫솔은 제공되지 않았다. 침대가 너무 푹신했다,1,1,
126,2021년 10월,수영장에 베드의 수가 너무 적었습니다.,1,1,
127,2021년 10월,옆객실이 아이동반가족이었고 자주 드나드셔서 소음이 조금 컸던 점이 아쉽습니다.,1,1,
128,2021년 6월,"객실내에 별도 블루투스 스피커, 충전기가 없는 점이 불편합니다.  충전기는 프론트데스크에서 대여가 가능하지만 주말에는 아무래도 이용하는 투숙객이 많으니 조금 늦게 말씀 드리면 충전기 대여도 불가능하다는게 조금 아쉽습니다.",1,1,
129,2021년 5월,아침식사는 좋았는데 동선이 아쉬웠습니다. 십자가로 되어있었어 사람들이랑 많이 겹쳐서 불편함이 없지 않았습니다.,1,1,
130,2021년 4월,조식메뉴가 다양하긴했으나 막상 먹고싶은게 적었다,1,1,
131,2020년 8월,창문개폐불가능,1,1,
132,2020년 6월,복잡한 주차장이 조금 아쉬웠지만 발렛이 된다는걸 뒤늦게 알아서 다음번에 간다면 발렛 맡길것 같습니다^^,1,1,
133,2020년 4월,프론트 직원이 그다지 친절하지 않았음,1,1,
134,2022년 1월,"세면대 물이 잘 안내려감
터치 화면 고장으로 블라인드 내릴 수 없었음",1,1,
135,2021년 5월,조식메뉴에 대해서 개선이 많이 필요합니다.,1,1,
136,2020년 5월,나름 이름있는 호텔임에도 불구하고 욕조 청소를 직접 해야했다는 점이 아쉬움. 이전에 제대로 청소가 안 되었었던 건지 물때(인지 사람 때인지 모를)것이 잔뜩 밀려나와서 한참을 박박 문대서 청소했음...욕조 사이즈 참 크고 깊고 입욕하기 너무 좋았는데 내가 청소해놓고도 좀 찝찝했음.,1,1,
137,2021년 10월,"호텔에서 IFC몰 이용하는 길을 찾기가 어려웠고 욕실구조가 쓰기 불편했어요.
식당 동선은 +로 되어있어 여기도 이용하기 불편했습니다.",1,1,
138,2020년 5월,소음이 약간 아쉬웠어요 ㅠ,1,1,
139,2021년 2월,조식이 빈약함,1,1,
140,2022년 2월,"호캉스를 즐겼어야했는데 1박은 너무 짧아서 일정대로만 움직였던 점이 아쉬웠습니다. 
호텔 자체의 서비는 매우 만족했습니다.",1,1,
141,2022년 1월,"가습기 대여하고 싶었는데, 이미 대여완료라서 여분이 없어 대여 못한 점 아쉬웠고, 객실 내에 빗이 따로 구비되어 있지 않아서 프론트에 말해야했던 점, 그리고 장애인 이용가능 객실이라 의자가 없어 따로 요청드려야하는 점 등이 아쉬웠네요.",1,1,
142,2021년 12월,와이파이 유료로 사용하는 호텔은 최근 몇년 사이에 처음 본것 같아요 ^^; 1박이었어서 그냥 지냈는데 일정이 길었으면 불편했을거 같아요,1,1,
143,2021년 12월,핸드폰 충전기도 있다면 정말 좋았을거 같습니다!,1,1,
144,2021년 11월,"옆방(1401호)이 새벽 3시까지 펜션 인양 술판 벌여서 짜증났음 
가격이 점점 하향되서 그런지 너도나도 오는 그런 호텔이 되어가는 기분.....",1,1,
145,2021년 11월,핸드폰 충전기는 한개정도는 있을법한데..,1,1,
146,2021년 11월,칫솔을 별도로 요청해야 했습니다.,1,1,
147,2021년 11월,"1. 생각보다 룸 공간이 좁음 
2. 욕조에 손잡이 잇길요. 거품목욕햇는데 미끄러웟음 
3. 칫솔세트 따로 요청해야 햇던 점 
4. 룸서비스 가성비별로요. 
5. 티비가 스마트티비가 아니여서 실망",1,1,
148,2021년 10월,가격이 조금... 아니면 특가 프로모션같은게 있음 좋겠네요 ㅎㅎ,1,1,
149,2021년 8월,객실의자가 2개였던게 아쉽네요,1,1,
150,2021년 6월,전망 좋은 곳을 요청했는데 시티뷰로 배정받아 아쉬웠어요.,1,1,
151,2021년 8월,"딱히 없지만 칫솔 치약 어메니티가 없었던 점, 단품메뉴 조식이었던 점, 이 정도가 아쉬웠던 것 같아요!",1,1,
152,2021년 6월,한강뷰를 원했는데 시티뷰라 좀 아쉬웠어요~ㅠ,1,1,
153,2021년 6월,더현대서울 왼쪽편 고층건물이 뷰에 가려 살짝 아쉬웠어요,1,1,
154,2021년 6월,밤에 왔다갔다 복도에서 ㅠㅠ,1,1,
155,2021년 5월,"조식ㆍ런치음식이 다양하지않은듯
레스토랑 직원의 친절도 떨어짐",1,1,
156,2021년 5월,"기본 어메니티 다소 부족하다고 느겼고, 욕실 내 리모콘이 작동하지 않았습니다",1,1,
157,2021년 5월,아쉬운점 없이 즐거운시간 보내고 왔어요,1,1,
158,2021년 4월,선거 소음,1,1,
159,2021년 4월,조식을 먹는 곳에 사람이 많았는데 거리두기가 잘 지켜지지 않았던 것 같습니다.,1,1,
160,2021년 4월,현백이 오픈해서 주변 차가 좀 막히니 참고,1,1,
161,2021년 4월,"방에 티슈가 없는거랑, 다른호텔에서는 칫솔이 대부분 있어서 안가져갔는데 없어서 너무 당황했어요;;",1,1,
162,2021년 4월,"제 기준으로 침대가 세로로 좀 짧았아요 ㅠ
처음 이런 호텔을 이용해봐서 모르는것도 많았고., 안내가 좀 아쉬웠어요
스테이케이션 혜택으로 예약했는데 무슨 차이인지 잘 모르겠어요.",1,1,
163,2021년 2월,칫솔치약이 부탁을드려야 준비해주시는점 ..??? 만 빼고는 다 괜찮습니당,1,1,
164,2021년 3월,아쉽게도 아쉬웠던점이 없었어요 (ㅎㅎㅎㅎ),1,1,
165,2021년 2월,"욕조쪽에 물이 미지근하게 나와서 좀 아쉬웠고, 아침메뉴가 이전에 숙박했을 때랑 너무 똑같아서 좀 아쉬웠습니다.",1,1,
166,2021년 2월,조식시간에 음식들이 바로바로 채워지지 않아서 아쉬웠어요. 2~3번씩 왔다갔다 하면서 가져올 수 있었네요;,1,1,
167,2021년 2월,"숙박고객도 인터넷이 유료. 근데 너무 느림.
티비 인터넷 연결은 작년 11월부터 개선중이라더니 아직도 개선중 . 개선 대상이 아닌듯",1,1,
168,2021년 2월,"현백  오픈으로  1키로  앞두고  한시간걸림
주차장  만실  불편
직원응대가  다소  불친절
식사가  종류적고일부부실한편
컵에 립스틱자국...",1,1,
169,2021년 2월,"와인잔에 머리카락이 붙어있었어요
청결도 부분이 아쉬웠습니다",1,1,
170,2021년 2월,"조식이 많이 나오지는 않아서 아쉬움(케이크나 빵 종류 등)
엘레베이터의 시스템이 처음에는 복잡함",1,1,
171,2021년 2월,드라이기 줄이 너무 짧아요. 다이슨이라 좋았지만,1,1,
172,2021년 1월,"아쉬운점은 객실내에서 할 수 있는게 쉬는게 다인지
tv로 할 수 있는게 거의없고 스마트폰으로 연결이 될줄 알았는데 안되더라구요
이정도만 딱 아쉽고 나머진 좋았습니다.",1,1,
